,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative,Group
54,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,31.0,Mart-Fe,1,0,Mart
55,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,52.0,Mart-Ff,1,0,Mart
56,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,80.0,Mart-Fg,1,0,Mart
57,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,50.0,93.0,Mart-Fh,1,0,Mart
58,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,99.0,Mart-Fi,1,0,Mart
59,0.074,0.27,1.11,0.009,0.024,0.17,2.3,0.96,0.018,556.0,113.0,0.008,0.032,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,70.0,105.0,Mart-Fj,1,0,Mart
60,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,643.0,708.0,16.0,32.0,-5.873015873015873,66.66666666666667,Mart-G,1,0,Mart
61,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,6.0,Mart-Ga,1,0,Mart
62,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,9.0,Mart-Gb,1,0,Mart
63,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,19.0,Mart-Gc,1,0,Mart
64,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,37.0,Mart-Gd,1,0,Mart
65,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,56.0,Mart-Ge,1,0,Mart
66,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,62.0,Mart-Gf,1,0,Mart
67,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,68.0,Mart-Gg,1,0,Mart
68,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,68.0,Mart-Gh,1,0,Mart
69,0.062,0.24,1.24,0.14,0.25,0.22,2.17,0.98,0.18,408.0,269.0,0.008,0.31,0.008,290.0,29.0,1.0,2.0,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,70.0,71.0,Mart-Gi,1,0,Mart
